@relation vietnamese_news

@attribute id numeric
@attribute ai numeric
@attribute am_nhac numeric
@attribute an_ninh_mang numeric
@attribute app numeric
@attribute bac_si numeric
@attribute bai_hat numeric
@attribute bau_cu numeric
@attribute benh_vien numeric
@attribute bien_chung numeric
@attribute blockchain numeric
@attribute bo_truong numeric
@attribute bong_da numeric
@attribute bong_ro numeric
@attribute ca_si numeric
@attribute cau_thu numeric
@attribute cham_soc numeric
@attribute chinh_phu numeric
@attribute chinh_sach numeric
@attribute chu_tich numeric
@attribute chuong_trinh numeric
@attribute co_phieu numeric
@attribute concert numeric
@attribute cong_dong numeric
@attribute cong_nghe numeric
@attribute dai_bieu numeric
@attribute dai_hoc numeric
@attribute dang numeric
@attribute dao_dien numeric
@attribute dao_tao numeric
@attribute dau_tu numeric
@attribute dich_benh numeric
@attribute diem_chuan numeric
@attribute dien_thoai numeric
@attribute dien_vien numeric
@attribute dinh_duong numeric
@attribute doanh_nghiep numeric
@attribute doi_tuyen numeric
@attribute du_lieu numeric
@attribute gameshow numeric
@attribute gdp numeric
@attribute gia_vang numeric
@attribute giai_dau numeric
@attribute giao_duc numeric
@attribute giao_vien numeric
@attribute ha_noi numeric
@attribute hiep_dinh numeric
@attribute hlv numeric
@attribute hoat_dong numeric
@attribute hoc_bong numeric
@attribute hoc_phi numeric
@attribute hoc_sinh numeric
@attribute hoc_tap numeric
@attribute hoi_nghi numeric
@attribute huy_chuong numeric
@attribute idol numeric
@attribute internet numeric
@attribute khong_khi numeric
@attribute khung_hoang numeric
@attribute kinh_doanh numeric
@attribute lai_suat numeric
@attribute lam_phat numeric
@attribute lanh_dao numeric
@attribute liveshow numeric
@attribute luat numeric
@attribute mang_5g numeric
@attribute may_tinh numeric
@attribute mon_hoc numeric
@attribute mv numeric
@attribute nam_hoc numeric
@attribute ngan_hang numeric
@attribute nghe_si numeric
@attribute nghi_quyet numeric
@attribute ngoai_giao numeric
@attribute nguoi_dan numeric
@attribute nhap_khau numeric
@attribute nhiem numeric
@attribute olympic numeric
@attribute phan_mem numeric
@attribute phat_trien numeric
@attribute phau_thuat numeric
@attribute phim numeric
@attribute quoc_hoi numeric
@attribute quoc_te numeric
@attribute robot numeric
@attribute san_khau numeric
@attribute startup numeric
@attribute suc_khoe numeric
@attribute tang_truong numeric
@attribute tennis numeric
@attribute thanh_nien numeric
@attribute the_thao numeric
@attribute the_van_hoi numeric
@attribute thi numeric
@attribute thi_truong numeric
@attribute thiet_bi numeric
@attribute thong_minh numeric
@attribute thong_tin numeric
@attribute thu_hut numeric
@attribute thu_khoa numeric
@attribute thu_tuong numeric
@attribute thuc_hien numeric
@attribute thuoc numeric
@attribute thuong_mai numeric
@attribute tiem_chung numeric
@attribute tot_nghiep numeric
@attribute tphcm numeric
@attribute tran_dau numeric
@attribute trien_khai numeric
@attribute truong_hoc numeric
@attribute truyen_hinh numeric
@attribute ung_thu numeric
@attribute v_league numeric
@attribute vaccine numeric
@attribute van_de numeric
@attribute viet_nam numeric
@attribute vo_dich numeric
@attribute world_cup numeric
@attribute xa_hoi numeric
@attribute xuat_khau numeric
@attribute y_te numeric
@attribute category {Business,Education,Entertainment,Health,Politics,Sports,Technology}

@data
11,0.0,0.0,2.0,0.0,11.0,2.0,5.0,0.0,15.0,0.0,5.0,0.0,0.0,3.0,0.0,15.0,0.0,4.0,4.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,8.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,3.0,2.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,10.0,8.0,4.0,3.0,0.0,6.0,0.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,12.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,Health
12,0.0,3.0,3.0,4.0,3.0,0.0,0.0,1.0,5.0,4.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,3.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,2.0,0.0,0.0,1.0,8.0,0.0,0.0,9.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,2.0,5.0,2.0,0.0,0.0,5.0,1.0,6.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,10.0,0.0,1.0,0.0,1.0,3.0,0.0,3.0,0.0,0.0,5.0,2.0,3.0,5.0,4.0,0.0,2.0,7.0,2.0,3.0,Technology
13,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,4.0,0.0,0.0,11.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,Education
14,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,10.0,0.0,0.0,2.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,3.0,0.0,Entertainment
15,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,3.0,6.0,0.0,0.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,3.0,6.0,7.0,6.0,0.0,5.0,0.0,5.0,0.0,2.0,7.0,3.0,1.0,1.0,0.0,1.0,Sports
16,0.0,2.0,0.0,0.0,0.0,0.0,9.0,5.0,3.0,0.0,4.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,1.0,3.0,4.0,2.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,3.0,2.0,0.0,7.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,10.0,0.0,5.0,0.0,0.0,3.0,0.0,3.0,0.0,3.0,0.0,9.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,9.0,0.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,3.0,0.0,4.0,3.0,0.0,Entertainment
17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,14.0,0.0,3.0,10.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,15.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,0.0,0.0,0.0,10.0,0.0,3.0,0.0,0.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,6.0,0.0,3.0,0.0,9.0,0.0,3.0,0.0,8.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,Technology
18,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,15.0,2.0,14.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,1.0,4.0,1.0,3.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,5.0,6.0,0.0,0.0,Entertainment
19,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,3.0,1.0,0.0,1.0,0.0,3.0,3.0,3.0,6.0,0.0,0.0,5.0,0.0,0.0,0.0,9.0,0.0,0.0,13.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,7.0,0.0,7.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,9.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,10.0,0.0,0.0,6.0,0.0,0.0,Entertainment
20,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,11.0,10.0,0.0,1.0,3.0,0.0,14.0,6.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,3.0,5.0,10.0,0.0,0.0,10.0,1.0,5.0,1.0,3.0,0.0,0.0,11.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,14.0,7.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,10.0,0.0,7.0,0.0,15.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,9.0,0.0,9.0,0.0,6.0,0.0,3.0,0.0,9.0,10.0,0.0,0.0,7.0,0.0,3.0,Entertainment
21,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,4.0,13.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,12.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,5.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,1.0,0.0,3.0,0.0,9.0,0.0,0.0,0.0,0.0,2.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,3.0,3.0,0.0,6.0,0.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,3.0,9.0,12.0,0.0,0.0,3.0,0.0,0.0,10.0,10.0,0.0,0.0,2.0,0.0,5.0,2.0,2.0,10.0,0.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,2.0,0.0,7.0,6.0,8.0,0.0,Sports
22,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,15.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,6.0,9.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,Technology
